id,name,category,description,auth_methods,self_serve,gating_details,api_surface_breadth,api_type,has_mcp,buildable_now,main_blocker,confidence
"1","Salesforce","CRM and Sales","Enterprise CRM platform with the broadest API ecosystem in CRM","OAuth2;JWT;Username-Password (legacy)","yes","Free Developer Edition org with full API access. Production requires paid license but dev tiers are free.","broad","REST","no","yes","Complex auth setup (multiple OAuth flows, IP ranges) and API rate limits. Broad surface but needs careful scope management.","high"
"2","HubSpot","CRM and Sales","All-in-one CRM, marketing, sales, and service platform with extensive API","OAuth2;API Key (deprecated)","yes","Free developer account with API access. Paid plans needed for higher rate limits and some endpoints.","broad","REST","no","yes","Rate limits on free tier (250 req/10sec). Some objects require paid subscriptions. Broad API needs careful scoping.","high"
"3","Pipedrive","CRM and Sales","Sales pipeline CRM with focused deal management API","OAuth2;API Key","yes","Free trial available with API access. Paid plans start at $12.50/month.","medium","REST","no","yes","Smaller API surface than HubSpot/Salesforce. Limited to CRM functions only.","high"
"4","Attio","CRM and Sales","Modern, flexible CRM with a developer-first REST API and MCP server","API Key;Bearer Token","yes","Free tier available with API access. Paid plans for higher usage.","medium","REST","yes","yes","Relatively newer platform, API is still maturing. Fewer integrations than incumbents.","high"
"5","Twenty","CRM and Sales","Open-source CRM with REST + GraphQL APIs, self-hostable","API Key;Bearer Token","yes","Open-source, completely free to self-host. Twenty Cloud has free tier.","medium","both","no","yes","Younger project, API still evolving. Fewer endpoints than Salesforce/HubSpot but growing fast.","high"
"6","Podio","CRM and Sales","Citrix-owned customizable work management platform with REST API","OAuth2;API Key","partial","Free tier available. But platform is in maintenance mode under Citrix - new developer signups may be restricted.","medium","REST","no","partial","Under Citrix, in maintenance mode. Platform may not be actively developed. Risk of deprecation.","medium"
"7","Zoho CRM","CRM and Sales","Zoho's CRM offering part of a larger Zoho ecosystem with broad APIs","OAuth2;Auth Token (legacy)","yes","Free tier available (3 users). Developer accounts easy to create. Paid plans for more users/features.","broad","REST","no","yes","API documentation quality varies. Zoho ecosystem has many independent APIs that don't always work well together.","medium"
"8","Close","CRM and Sales","Inside sales CRM with built-in calling, email, and SMS","API Key","yes","Free trial available. Paid plans start affordably. Developer docs open to all.","medium","REST","no","yes","API covers CRM operations well but is focused on Close's specific model (leads, activities, call tracking).","high"
"9","Copper","CRM and Sales","CRM designed for Google Workspace users with REST API","API Key;OAuth2","partial","Free trial available. Full API access may require paid plan. Some endpoints restricted.","medium","REST","no","yes","API not as broad as Salesforce/HubSpot. Strong in Google Workspace integration, weaker elsewhere.","medium"
"10","DealCloud","CRM and Sales","Private equity and investment CRM with comprehensive REST API","OAuth2;API Key","no","Enterprise-focused platform. Requires partnership or paid plan. No free developer tier.","medium","REST","no","no","Enterprise-gated. No self-serve API access. Must be a DealCloud customer with a paid plan.","high"
"11","Zendesk","Support and Helpdesk","Leading customer service platform with extensive REST API","OAuth2;API Token;Basic Auth","yes","Free trial (30 days) available. Developer account with sandbox. Paid plans required for production.","broad","REST","no","yes","Rate limits on trial. Some endpoints require specific Zendesk plans. Broad API needs scope management.","high"
"12","Intercom","Support and Helpdesk","Customer communications platform with REST API and AI agents","OAuth2;Access Token","yes","Free trial available. Developer hub accessible. Paid plans for production use.","broad","REST","no","yes","API rate limits. Some data (conversations, articles) has pagination limits.","high"
"13","Freshdesk","Support and Helpdesk","Cloud-based customer support software with REST API","API Key;Basic Auth","yes","Free tier (Sprout) available. Developer portal open. Paid plans start at $15/month.","medium","REST","no","yes","No OAuth2 - uses Basic Auth with API key, less secure. API surface is adequate but not as broad as Zendesk.","high"
"14","Front","Support and Helpdesk","Shared inbox platform for teams with REST API","OAuth2;API Key","partial","Free trial available. Full API access requires paid plan. Developer docs available.","medium","REST","no","yes","API covers shared inbox operations well but may lack depth in some areas.","medium"
"15","Pylon","Support and Helpdesk","Customer support platform designed for B2B SaaS, with chat and ticketing","API Key","partial","Early-stage product. Free trial available but API documentation may be limited. Growing platform.","narrow","REST","no","partial","Newer platform with limited API documentation and smaller endpoint surface. API may still be evolving.","medium"
"16","LiveAgent","Support and Helpdesk","Help desk and live chat platform with REST API","API Key","yes","Free trial (30 days) available. Paid plans start at $9/month. API available on all plans.","medium","REST","no","yes","API is functional but documentation quality varies. Not as well-known as Zendesk/Intercom.","medium"
"17","Plain","Support and Helpdesk","Modern B2B customer support platform with GraphQL API","Bearer Token","yes","Free trial available. Modern platform with good developer docs. API accessible from trial.","medium","GraphQL","no","yes","GraphQL-only (not REST). Smaller ecosystem but well-designed API. Newer platform.","high"
"18","Help Scout","Support and Helpdesk","Simple, customer-focused help desk with REST and Docs APIs","API Key;Basic Auth","yes","Free trial available. Developer docs open to all. Paid plans for production use.","medium","REST","no","yes","Basic Auth with API key (no OAuth2). Two separate APIs that could be unified. Smaller surface than Zendesk.","high"
"19","Gorgias","Support and Helpdesk","Ecommerce help desk platform with multi-channel support and REST API","OAuth2;API Key","partial","Free trial available. Building a public app requires signing up for developer partnership. API docs accessible.","medium","REST","no","yes","Public app development requires partnership approval. Private API keys available but with limits.","high"
"20","Gladly","Support and Helpdesk","Customer service platform focused on conversation-centric support","API Key;Bearer Token","no","Enterprise-focused. No self-serve developer trial. Requires becoming a customer or partner.","narrow","REST","no","no","Enterprise-gated. Limited public API documentation. Requires paid Gladly account for API access.","medium"
"21","Slack","Communications and Messaging","Team communication platform with comprehensive APIs, Events API, and Modals","OAuth2","yes","Free Slack workspace for development. App creation in API portal is free. No paid account needed for dev.","broad","REST","no","yes","Complex OAuth scope system. Event subscriptions need verification. Socket Mode vs RTM decisions. Rate limits per workspace.","high"
"22","Twilio","Communications and Messaging","Cloud communications platform for SMS, voice, video, and email via REST APIs","API Key;Basic Auth (Account SID + Auth Token)","yes","Free trial credits ($15) on signup. Pay-as-you-go. No approval needed to start building.","broad","REST","no","yes","Complex product family (SendGrid, Segment, Twilio proper). Each has different API. Trial limited to verified numbers.","high"
"23","Zoho Cliq","Communications and Messaging","Zoho's team messaging and collaboration platform","OAuth2","yes","Free tier available (limited users). Zoho developer account is free. Part of Zoho ecosystem.","medium","REST","no","yes","Documentation is less polished than Slack/Discord. Tied to Zoho ecosystem.","medium"
"24","Lark (Larksuite)","Communications and Messaging","ByteDance's enterprise collaboration platform with open APIs","OAuth2;App Token (Tenant + User)","yes","Free developer account at open.larksuite.com. App creation is free. Some endpoints may need enterprise plan.","broad","REST","no","yes","Two-level auth (tenant + user) adds complexity. Documentation primarily in English but some gaps. China vs International versions differ.","medium"
"25","Pumble","Communications and Messaging","Free team chat app with file sharing, no paid tier needed for full features","API Key","partial","Free to use. But API documentation is scarce - platform is relatively new.","none","none","no","no","Very limited or no public REST API. Primarily a webhook consumer. Not suitable for agent toolkit without API expansion.","medium"
